Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5
12/08/2023,Team O,Team A,1,1,D,1.8,9.5,2.2,2.21,1.67
12/08/2023,Team N,Team P,0,0,D,1.36,9.5,3.6,2.18,1.68
12/08/2023,Team N,Team T,0,2,A,2.01,9.5,1.92,1.73,2.11
12/08/2023,Team C,Team B,0,1,A,1.89,9.5,2.07,2.03,1.79
12/08/2023,Team B,Team P,3,1,H,1.68,9.5,2.35,1.46,2.73
12/08/2023,Team T,Team C,0,0,D,2.21,9.5,1.77,1.67,2.21
12/08/2023,Team C,Team S,2,2,D,1.39,9.5,3.44,2.33,1.6
12/08/2023,Team N,Team Q,0,2,A,2.44,9.5,1.65,1.75,2.08
12/08/2023,Team Q,Team H,0,2,A,2.11,9.5,1.83,1.54,2.49
12/08/2023,Team I,Team R,2,0,H,1.81,9.5,2.26,3.86,1.26
19/08/2023,Team E,Team P,3,1,H,1.39,9.5,3.37,1.87,1.93
19/08/2023,Team M,Team E,3,0,H,1.65,9.5,2.44,1.83,1.98
19/08/2023,Team C,Team T,3,0,H,1.89,9.5,2.05,1.66,2.22
19/08/2023,Team M,Team P,3,1,H,2.08,9.5,1.87,1.75,2.07
19/08/2023,Team S,Team Q,3,0,H,1.74,9.5,2.31,2.38,1.58
19/08/2023,Team H,Team J,3,0,H,1.64,9.5,2.46,1.7,2.16
19/08/2023,Team N,Team D,0,0,D,1.57,9.5,2.66,1.98,1.83
19/08/2023,Team P,Team A,3,1,H,1.76,9.5,2.24,1.92,1.88
19/08/2023,Team M,Team G,2,0,H,2.13,9.5,1.8,1.43,2.83
19/08/2023,Team G,Team C,0,4,A,1.99,9.5,1.95,1.81,2.0
26/08/2023,Team B,Team H,1,1,D,1.86,9.5,2.09,1.85,1.96
26/08/2023,Team E,Team A,0,1,A,2.22,9.5,1.78,2.08,1.75
26/08/2023,Team A,Team K,3,3,D,2.16,9.5,1.8,1.57,2.4
26/08/2023,Team C,Team J,1,3,A,1.88,9.5,2.05,1.64,2.26
26/08/2023,Team N,Team L,3,0,H,1.53,9.5,2.79,2.03,1.79
26/08/2023,Team M,Team T,1,0,H,1.56,9.5,2.67,1.92,1.88
26/08/2023,Team A,Team B,4,2,H,1.5,9.5,2.83,1.71,2.13
26/08/2023,Team T,Team N,2,0,H,1.83,9.5,2.14,1.94,1.86
26/08/2023,Team A,Team Q,1,0,H,2.78,9.5,1.53,1.97,1.84
26/08/2023,Team E,Team C,1,0,H,1.76,9.5,2.24,1.96,1.84
02/09/2023,Team T,Team P,2,2,D,2.5,9.5,1.63,1.96,1.84
02/09/2023,Team F,Team O,1,0,H,1.85,9.5,2.07,1.48,2.65
02/09/2023,Team I,Team F,0,0,D,1.94,9.5,1.99,1.7,2.15
02/09/2023,Team F,Team H,3,1,H,1.54,9.5,2.75,2.0,1.81
02/09/2023,Team H,Team Q,1,1,D,1.79,9.5,2.18,1.72,2.12
02/09/2023,Team K,Team E,6,1,H,1.73,9.5,2.27,1.74,2.1
02/09/2023,Team C,Team F,1,1,D,1.5,9.5,2.84,1.71,2.14
02/09/2023,Team O,Team P,2,0,H,2.43,9.5,1.65,1.75,2.08
02/09/2023,Team Q,Team O,4,2,H,1.88,9.5,2.08,2.06,1.76
02/09/2023,Team K,Team T,1,0,H,1.97,9.5,1.96,1.62,2.29
09/09/2023,Team S,Team A,0,2,A,1.85,9.5,2.08,1.52,2.52
09/09/2023,Team P,Team H,3,1,H,1.45,9.5,3.07,1.91,1.89
09/09/2023,Team D,Team A,1,0,H,1.31,9.5,4.19,3.13,1.36
09/09/2023,Team T,Team H,1,1,D,1.96,9.5,2.01,2.5,1.53
09/09/2023,Team B,Team M,1,0,H,1.51,9.5,2.83,1.82,1.99
09/09/2023,Team B,Team N,1,0,H,1.9,9.5,2.03,1.67,2.21
09/09/2023,Team B,Team E,0,0,D,1.5,9.5,2.88,2.05,1.77
09/09/2023,Team M,Team K,0,0,D,1.74,9.5,2.31,2.37,1.59
09/09/2023,Team Q,Team S,1,1,D,1.66,9.5,2.42,1.79,2.03
09/09/2023,Team G,Team N,1,2,A,1.64,9.5,2.43,1.59,2.36
16/09/2023,Team G,Team E,1,1,D,1.73,9.5,2.31,2.12,1.72
16/09/2023,Team M,Team R,1,1,D,1.48,9.5,2.94,1.83,1.97
16/09/2023,Team C,Team I,0,3,A,1.97,9.5,1.97,1.83,1.98
16/09/2023,Team J,Team C,2,0,H,1.56,9.5,2.71,2.12,1.72
